id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
471515,Adventures in Public School,2018-09-06,0,0,6.4,82,9.067,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
407636,The Adventures of Panda Warrior,2012-08-10,0,0,2.6,17,4.48,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",[]
148686,The Penguin King,2012-10-23,0,0,6.9,8,1.4,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[3028, 256932]"
480681,An Affair,2018-10-05,0,0,5.5,44,36.27,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1523, 14720, 41355]"
118612,After,2012-08-27,0,0,5.5,157,20.141,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[732, 14541, 223221]"
95742,An African Election,2011-11-25,0,0,7.4,5,0.743,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",[]
210947,Afflicted,2014-04-04,318000,121179,6.454,519,11.652,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3133, 131, 11800, 9444, 163053, 176585, 209941]"
292022,After Midnight,2014-10-28,0,0,2.765,17,4.353,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[6593, 9826]"
101501,The Afflicted,2011-10-22,180000,175742,4.707,29,2.801,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
309924,After the Ball,2015-02-27,0,234417,6.3,253,14.515,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
416987,After the Reality,2016-04-21,0,0,5.5,26,4.277,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[10201, 3623, 206915]"
